name,tournaments,rating
GoropadniPoni,2,2136.5
grabhispieces,2,1904
grantoldham,2,1565.5
greg-butts,2,1459
greyhawk,2,1698
gspen,2,1779
guanm,2,1669
GuyIncognito_de,2,1559
gyrating_kairos,2,1921.5
harrison2,2,1927
Heinie,2,2042.5
hicetnunc ,2,2193.5
hillrp,2,1679
hive,2,1436.5
HoxHound,2,2005.5
iebrian,2,1756.5
iebrian ,2,1773.5
iHateRBF,2,1923
imcgrat2,2,1688.5
iqb,2,1598.5
isaypotato ,2,1944
itakeback,2,1918
ItsMeMaho,2,1602
izzie26 ,2,1619
jameslatham,2,1774.5
jckund,2,1822.5
jcole98,2,1735
jdpeters,2,1735.5
jitre,2,1813
jkobs,2,2102.5
JMHWSM,2,1477.5
Johnhammer1456,2,1680
JohnJPershing ,2,1644.5
JohnsonBronson,2,1835.5
Jokes1724,2,1594.5
Jonathancoffin ,2,1910.5
josbri,2,1714.5
Journey_to_NM,2,2263
jrvdwjr,2,1764.5
jslavik,2,1920.5
jughandle10,2,1787.5
Juped,2,1758.5
KaasHonijn,2,1422.5
kajoM,2,1973
kevban,2,1992
kevban ,2,1996
Khidal,2,1562.5
kingscrusher-fan,2,1781
Krsto,2,2092
kschmigel,2,1538
Kvltvr_Wvltvr,2,1998
kylecuver1,2,1025.5
LazyPeon,2,1957
LeChuckForPresident,2,1115
Liamvo ,2,1972.5
Litlee,2,1723
LittleAnnieAdderall,2,2006
Lord_Karamat,2,1477.5
Luci_Bunny,2,1771.5
luvgangster,2,1863
majsza,2,1532.5
MakeHellTal,2,1822
Maqqa,2,1930
marcelluspye,2,1797
MarionTinsley,2,1963
matt_p_14,2,1919
Maurice95,2,1882.5
mdaw,2,1776.5
mekumcu ,2,1803.5
miikka1,2,1734
Mixalaki2705,2,2032.5
mjf1234,2,1969
mkoga,2,1717
mn8 ,2,2215
Moha369,2,1624
moinmann,2,1724
MoistvonLipwig ,2,2259
MoneyMitch,2,1710
mqll,2,1675
MrLegilimens ,2,1878.5
MrPantz,2,1594
MrScribbles,2,1511.5
msiipola,2,1630
myle,2,1837
mynameismund ,2,1661
Namulin,2,1740.5
narud,2,1851
NarwhalePete,2,1573.5
netherfiel,2,1803.5
nickoboy1992,2,1974
nimzovit,2,2049.5
nimzovit ,2,2135.5
NoKlu,2,1302
nondrama,2,2065
Nubas,2,1815.5
nubnub57,2,1824
Nytik,2,1911
Oatmate,2,1670
oddsox,2,1665
odyn1982,2,1811.5
OldPalHappy,2,1808.5
OldTom,2,1608
OneKindKing,2,2044
Orwellvision,2,1392
ostdorfer ,2,1936
OutdoorTree,2,1777
p_implies_q,2,1953.5
parrotz ,2,1836.5
Pasternak,2,2077.5
PGSankar,2,1965
phild159,2,1863.5
piotor,2,1466.5
Pitrinu,2,2276
poopheaderic,2,1631.5
postit,2,1889.5
Pras108,2,1931
Prof_Moriarty,2,2159
Proustino,2,1581
PublicRadio,2,1934
PublicRadio ,2,1940
Pushedpawn,2,2055.5
Pushedpawn ,2,2020
Qualm,2,1969.5
Queen_Blunder ,2,1936
RazorBoy,2,2201
readysteadygo,2,1664
RealRobbert,2,1950
RebelMe,2,1656
Reodor,2,1413
Rescinded,2,1692.5
resonantpillow,2,1990.5
richtri_rj,2,1623
riemannn ,2,1895.5
rkjulian,2,1508
robertswa,2,1713
rosagris,2,2011.5
rpimpulse,2,1730.5
RuizBR,2,1750.5
Ryen89,2,1382.5
Ryune,2,2039
Saltator,2,1858.5
samjjames,2,1779
SCV-Chess,2,1694.5
Seabacon,2,1306.5
seiduck,2,1622
shakaali,2,1964
shakaali ,2,1964
shetoo ,2,1759
shmageggy,2,1662
Showboater ,2,1864
Skims,2,2118
Sleivert,2,1719
smothermemate,2,1555
soldadofiel ,2,1947
solidplayerr,2,1954
Spaceball,2,1952
SpiteKnight ,2,1790.5
sprcow,2,1666.5
ssyx,2,1556
Star-Bearer,2,1697.5
Steiger07,2,1980.5
suicune,2,1726
sunitdemenace,2,1753
SuperIntegration,2,1895.5
swagquark,2,2107
swohl19 ,2,1927
T_Taylor,2,1659
TenThousandHours,2,2273
ThePawnSlayer,2,1783
thetasquared,2,1544.5
Tinkerphyte,2,1825
tipau,2,2224.5
Traxxin,2,1670
Treppenhouse,2,1886.5
truesacrifice,2,1616.5
twobe,2,2119
tworivers,2,1695
Ubique29,2,1638
udaysatya,2,1694
Unclevinny ,2,1765
ventricule,2,1887
vgd123,2,2113.5
Weiter,2,1940
wetdogsmell,2,1728
WildGooseChess,2,2012.5
WO_Schrodinger,2,1925
wookash_888,2,2280.5
wpruitt14 ,2,1721
xearo,2,1718.5
xEmpCC,2,1687
xobeci,2,1963
xVaria,2,1466
yeyq,2,2173
yungpirc ,2,1593
yvettenicole,2,1283
z0x,2,1403
Zopherus,2,1539
Aaren,1,1884
abdelaziz_sayed,1,1673
Abhy0024,1,2399
adamroyd,1,1662
adrianchessnow,1,1877
advocatezz,1,1604
Aeilnrst,1,1910
Aerytheta,1,1682
AFAMMG,1,1940
Agood2inches,1,1381
AidanRU,1,1656
aion,1,1767
ajm1234,1,1558
Akselm,1,1688
Aleksandr88_62 ,1,2032
alenbasic,1,1709
